record_type,record_id,record_name,record_url,citation,source_type,exists,biblio_correct,supports_record,notes
entity,377,பாண்டிய நாடு,https://atlaspi.it/v1/entities/377,"Sastri, K.A. Nilakanta. The Pandyan Kingdom: From the Earliest Times to the Sixteenth Century. Luzac & Co., 1929",academic,,,,
entity,388,මහනුවර රාජධානිය,https://atlaspi.it/v1/entities/388,"Dewaraja, Lorna. The Kandyan Kingdom of Sri Lanka, 1707-1782. Lake House, 1988",academic,,,,
entity,390,خلجی,https://atlaspi.it/v1/entities/390,"Eaton, Richard M. India in the Persianate Age, 1000-1765. Berkeley: University of California Press, 2019. ISBN 978-0-520-32505-3.",book,,,,
entity,394,मगध,https://atlaspi.it/v1/entities/394,"Pali Canon, Digha Nikaya and Majjhima Nikaya, accounts of Bimbisara and Ajatashatru",primary,,,,
entity,406,الدولة السعدية,https://atlaspi.it/v1/entities/406,"Abitbol, Michel. Tombouctou et les Arma: De la conquete marocaine du Soudan nigerin en 1591 a l'hegemonir de l'Empire Peul du Macina en 1833. Paris: Maisonneuve et Larose, 1979",academic,,,,
entity,441,Regatul Romaniei,https://atlaspi.it/v1/entities/441,"Boia, Lucian. Romania: Borderland of Europe. Reaktion Books, 2001",academic,,,,
entity,469,前秦,https://atlaspi.it/v1/entities/469,"Fang Xuanling et al., Jinshu (Libro dei Jin, 648), capitoli sui Former Qin",primary,,,,
entity,476,الزنكيون,https://atlaspi.it/v1/entities/476,"Hillenbrand, C. The Crusades: Islamic Perspectives (1999)",academic,,,,
entity,504,اللخميون,https://atlaspi.it/v1/entities/504,"Rothstein, G. Die Dynastie der Lahmiden in al-Hira (1899)",academic,,,,
entity,552,Meroe,https://atlaspi.it/v1/entities/552,"Welsby, Derek A. The Kingdom of Kush: The Napatan and Meroitic Empires. London: British Museum Press, 1996",academic,,,,
entity,617,ממלכת הורדוס,https://atlaspi.it/v1/entities/617,"Richardson, P. Herod: King of the Jews and Friend of the Romans, Univ. of South Carolina Press (1996)",academic,,,,
entity,659,Suldaanaddii Warsangeli,https://atlaspi.it/v1/entities/659,"Cassanelli, Lee V. The Shaping of Somali Society: Reconstructing the History of a Pastoral People, 1600-1900. Philadelphia: University of Pennsylvania Press, 1982",academic,,,,
entity,678,Гетьманщина,https://atlaspi.it/v1/entities/678,"The Litopys Samovidets (Eyewitness Chronicle). Ukrainian Cossack chronicle, late 17th century",primary,,,,
entity,699,Bone,https://atlaspi.it/v1/entities/699,"La Galigo. Bugis epic cycle, one of the longest literary works in the world.",primary,,,,
entity,764,Wa'ab,https://atlaspi.it/v1/entities/764,"Labby, David. The Demystification of Yap: Dialectics of Culture on a Micronesian Island. Chicago: University of Chicago Press, 1976. ISBN 978-0-226-46748-8.",book,,,,
entity,779,Lenapehoking,https://atlaspi.it/v1/entities/779,"Schutt, Amy C. Peoples of the River Valleys: The Odyssey of the Delaware Indians. University of Pennsylvania Press, 2007",academic,,,,
entity,856,Malo o Samoa,https://atlaspi.it/v1/entities/856,"Krämer, Augustin. Die Samoa-Inseln. 2 vols. Stuttgart: E. Schweizerbartsche, 1902-1903. (German ethnographic survey; colonial perspective but rich in detail).",academic,,,,
entity,896,قۇچۇ,https://atlaspi.it/v1/entities/896,"Mackerras, C. 'The Uighurs', in Sinor, D. (ed.) The Cambridge History of Early Inner Asia. Cambridge: Cambridge University Press, 1990",academic,,,,
entity,952,Chanka,https://atlaspi.it/v1/entities/952,"Bauer, B. S., Kellett, L. C. & Aráoz Silva, M. (2010). The Chanka: Archaeological Research in Andahuaylas (Apurímac), Peru. Cotsen Institute of Archaeology Press / UCLA. ISBN 978-1931745543.",academic,,,,
entity,960,Taíno (Lucayan),https://atlaspi.it/v1/entities/960,"Forte, M. C. (ed.) (2006). Indigenous Resurgence in the Contemporary Caribbean: Amerindian Survival and Revival. Peter Lang. ISBN 978-0820476887.",academic,,,,
entity,970,Salinar,https://atlaspi.it/v1/entities/970,"Brennan, Curtiss T. 'Cerro Arena: Early Cultural Complexity and Nucleation in North Coastal Peru.' Journal of Field Archaeology 7, 1980",academic,,,,
entity,977,Zazzau,https://atlaspi.it/v1/entities/977,"Last, Murray. The Sokoto Caliphate. London: Longmans, 1967",academic,,,,
entity,1003,Tichitt,https://atlaspi.it/v1/entities/1003,"Holl, Augustin. The Land of Houlouf: Genesis of a Chadic Polity. Ann Arbor: University of Michigan Press, 2002",archaeological,,,,
entity,1014,Bono-Manso,https://atlaspi.it/v1/entities/1014,"Effah-Gyamfi, Kwaku. Bono Manso: An Archaeological Investigation into Early Akan Urbanism. Calgary: University of Calgary Press, 1985",archaeological,,,,
entity,1018,Manda,https://atlaspi.it/v1/entities/1018,"Brielle, E. S. et al. (2023). Entwined African and Asian genetic roots of medieval peoples of the Swahili coast. Nature 615.",academic,,,,
entity,1057,tꜣ.wy (Middle Kingdom),https://atlaspi.it/v1/entities/1057,"Callender, G. (2000). 'The Middle Kingdom Renaissance (c. 2055-1650 BC)'. In Shaw, I. (ed.), The Oxford History of Ancient Egypt. Oxford: Oxford University Press, pp. 148-183.",academic,,,,
event,45,秦統一,https://atlaspi.it/v1/events/45,"Lewis, M.E. (2007). The Early Chinese Empires: Qin and Han. Harvard UP.",academic,,,,
event,88,第一次鴉片戰爭,https://atlaspi.it/v1/events/88,"Platt, S.R. (2018). Imperial Twilight: The Opium War and the End of China's Last Golden Age. Knopf.",academic,,,,
event,105,World Wide Web proposal,https://atlaspi.it/v1/events/105,"Berners-Lee, T. (1999). Weaving the Web. HarperSanFrancisco.",secondary,,,,
event,156,Referendum Timor-Leste,https://atlaspi.it/v1/events/156,"Commission for Reception, Truth and Reconciliation in East Timor (CAVR) (2005). Chega! The Report of the Commission for Reception, Truth, and Reconciliation in Timor-Leste.",primary,,,,
event,160,Caída de Tenochtitlan / Tenōchtitlān īpoliuhyān,https://atlaspi.it/v1/events/160,"Restall, M. (2003). Seven Myths of the Spanish Conquest. Oxford University Press.",academic,,,,
event,165,Po'pay Pueblo Revolt / Popay Popehuno,https://atlaspi.it/v1/events/165,"Weber, D.J. (ed.) (1999). What Caused the Pueblo Revolt of 1680? Bedford/St. Martin's.",academic,,,,
event,328,Reunification of Germany / Deutsche Wiedervereinigung,https://atlaspi.it/v1/events/328,"Maier, C.S. (1997). Dissolution: The Crisis of Communism and the End of East Germany. Princeton University Press.",academic,,,,
event,407,Σόλωνος νομοθεσία,https://atlaspi.it/v1/events/407,"Aristotle, Athenaion Politeia (Constitution of Athens), chs. 5-12. Trans. P.J. Rhodes (1984), Penguin.",primary,,,,
event,515,Congress of Vienna — Final Act,https://atlaspi.it/v1/events/515,"Zamoyski, A. (2007). Rites of Peace: The Fall of Napoleon and the Congress of Vienna. HarperPress.",academic,,,,
event,622,Mau Mau uprising — State of Emergency declared,https://atlaspi.it/v1/events/622,"Elkins, C. (2005). Britain's Gulag: The Brutal End of Empire in Kenya. Jonathan Cape.",academic,,,,
